wavelength,trans
3.389051601,0.0037923
3.391267486,0.0035645
3.393487423,0.003411
3.395709114,0.0032073
3.397934871,0.0031026
3.400162392,0.0029339
3.402393992,0.0027885
3.404627365,0.0026734
3.406864833,0.0027731
3.409104081,0.0028607
3.411347438,0.0029717
3.41359375,0.0030593
3.415841855,0.0030351
3.418094091,0.002926
3.42034813,0.0030654
3.422606315,0.0030988
3.42486631,0.0030207
3.427130467,0.0030914
3.429396443,0.0031112
3.431666596,0.0029057
3.433939756,0.0028224
3.436214748,0.0027575
3.43849394,0.0029122
3.440774973,0.0030731
3.443060219,0.0030421
3.445347317,0.0029169
3.447638643,0.0028855
3.449931829,0.0028789
3.45222926,0.002879
3.454529752,0.0028407
3.456832118,0.0028797
3.459137554,0.0029168
3.461447266,0.0028731
3.463760064,0.0028212
3.466074754,0.0029501
3.468393742,0.0031342
3.470714631,0.0034344
3.473039834,0.0037398
3.475366947,0.0040563
3.47769839,0.0044009
3.480031752,0.004538
3.48236946,0.004252
3.484710311,0.0038535
3.487053095,0.0034549
3.489400249,0.003079
3.491749345,0.0026915
3.494102828,0.0024872
3.496458263,0.0023599
3.498818099,0.002232
3.501179898,0.0021049
3.503546114,0.0019647
3.505914302,0.001912
3.508286925,0.0020077
3.51066276,0.0019907
3.513040582,0.0018205
3.515422863,0.0015536
3.51780714,0.0016003
3.520195892,0.002323
3.522586649,0.0044666
3.524981899,0.0089044
3.527379164,0.0173984
3.529780938,0.0304866
3.532185985,0.0473206
3.534593062,0.0663911
3.537004673,0.0866011
3.539418325,0.1073485
3.541836527,0.1281399
3.54425678,0.1486103
3.546681601,0.168673
3.549108482,0.188237
3.551539948,0.2071862
3.553974748,0.2254014
3.556411623,0.243098
3.558851843,0.2602905
3.561296682,0.2772455
3.563744883,0.2943088
3.56619518,0.3114396
3.568650122,0.3284533
3.571107172,0.3452905
3.573568884,0.3619071
3.576032714,0.3784911
3.578501223,0.3954102
3.580971861,0.4129839
3.583447197,0.4310253
3.585925958,0.4489042
3.588406862,0.4663487
3.590892491,0.4830329
3.593380275,0.4985807
3.595872801,0.5130532
3.598367493,0.5263752
3.600866945,0.5384523
3.603368573,0.5494081
3.60587498,0.5592697
3.608384876,0.5680047
3.610896965,0.5757794
3.613413859,0.5827737
3.615932958,0.5892948
3.61845688,0.5954807
3.620983017,0.6015282
3.623513997,0.6074498
3.626047202,0.6127942
3.628585269,0.6174476
3.631125573,0.6214555
3.633670756,0.6245273
3.63621951,0.6264543
3.638770518,0.6269386
3.641326433,0.6263148
